Time	Epoch_Time	Longitude	Latitude	Altitude	X_J2000	Y_J2000	Z_J2000	X_MSO	Y_MSO	Z_MSO	Instrument_Observation_Direction_X	Instrument_Observation_Direction_Y	Instrument_Observation_Direction_Z	Solar_Incident_Angle	Solar_Azimuth_Angle	Energy_CSI_1	Energy_CSI_2	Energy_CSI_3	Energy_CSI_4	Energy_CSI_5	Energy_CSI_6	Energy_CSI_7	Energy_CSI_8	Energy_CSI_9	Energy_CSI_10	Energy_CSI_11	Energy_CSI_12	Energy_CSI_13	Energy_CSI_14	Energy_CSI_15	Energy_CSI_16	Energy_CSI_17	Energy_CSI_18	Energy_CSI_19	Energy_CSI_20	Energy_CSI_21	Energy_CSI_22	Energy_SD1_1	Energy_SD1_2	Energy_SD1_3	Energy_SD1_4	Energy_SD1_5	Energy_SD1_6	Energy_SD1_7	Energy_SD1_8	Energy_SD1_9	Energy_SD1_10	Energy_SD1_11	Energy_SD1_12	Energy_SD1_13	Energy_SD1_14	Energy_SD1_15	Energy_SD1_16	Energy_SD1_17	Energy_SD1_18	Energy_SD1_19	Energy_SD1_20	Energy_SD1_21	Energy_SD1_22	Energy_SD2_1	Energy_SD2_2	Energy_SD2_3	Energy_SD2_4	Energy_SD2_5	Energy_SD2_6	Energy_SD2_7	Energy_SD2_8	Energy_SD2_9	Energy_SD2_10	Energy_SD2_11	Energy_SD2_12	Energy_SD2_13	Energy_SD2_14	Energy_SD2_15	Energy_SD2_16	Energy_SD2_17	Energy_SD2_18	Energy_SD2_19	Energy_SD2_20	Energy_SD2_21	Energy_SD2_22	Energy_Total_1	Energy_Total_2	Energy_Total_3	Energy_Total_4	Energy_Total_5	Energy_Total_6	Energy_Total_7	Energy_Total_8	Energy_Total_9	Energy_Total_10	Energy_Total_11	Energy_Total_12	Energy_Total_13	Energy_Total_14	Energy_Total_15	Energy_Total_16	Energy_Total_17	Energy_Total_18	Energy_Total_19	Energy_Total_20	Energy_Total_21	Energy_Total_22	He_Index_1	He_Index_2	He_Index_3	He_Index_4	He_Index_5	He_Index_6	He_Index_7	He_Index_8	He_Index_9	He_Index_10	He_Index_11	He_Index_12	He_Index_13	He_Index_14	He_Index_15	He_Index_16	He_Index_17	He_Index_18	He_Index_19	He_Index_20	He_Index_21	He_Index_22	Electron_Index_1	Electron_Index_2	Electron_Index_3	Electron_Index_4	Electron_Index_5	Electron_Index_6	Electron_Index_7	Electron_Index_8	Electron_Index_9	Electron_Index_10	Electron_Index_11	Electron_Index_12	Electron_Index_13	Electron_Index_14	Electron_Index_15	Electron_Index_16	Electron_Index_17	Electron_Index_18	Electron_Index_19	Electron_Index_20	Electron_Index_21	Electron_Index_22	Proton_Index_1	Proton_Index_2	Proton_Index_3	Proton_Index_4	Proton_Index_5	Proton_Index_6	Proton_Index_7	Proton_Index_8	Proton_Index_9	Proton_Index_10	Proton_Index_11	Proton_Index_12	Proton_Index_13	Proton_Index_14	Proton_Index_15	Proton_Index_16	Proton_Index_17	Proton_Index_18	Proton_Index_19	Proton_Index_20	Proton_Index_21	Proton_Index_22	Divide_Ratio	He_Sample_Counts_1	He_Sample_Counts_2	He_Sample_Counts_3	He_Sample_Counts_4	He_Sample_Counts_5	He_Sample_Counts_6	He_Sample_Counts_7	He_Sample_Counts_8	He_Sample_Counts_9	He_Sample_Counts_10	He_Sample_Counts_11	He_Sample_Counts_12	He_Sample_Counts_13	He_Sample_Counts_14	He_Sample_Counts_15	He_Sample_Counts_16	Electron_Sample_Counts_1	Electron_Sample_Counts_2	Electron_Sample_Counts_3	Electron_Sample_Counts_4	Electron_Sample_Counts_5	Electron_Sample_Counts_6	Electron_Sample_Counts_7	Electron_Sample_Counts_8	Electron_Sample_Counts_9	Electron_Sample_Counts_10	Electron_Sample_Counts_11	Electron_Sample_Counts_12	Electron_Sample_Counts_13	Electron_Sample_Counts_14	Electron_Sample_Counts_15	Electron_Sample_Counts_16	Proton_Sample_Counts_1	Proton_Sample_Counts_2	Proton_Sample_Counts_3	Proton_Sample_Counts_4	Proton_Sample_Counts_5	Proton_Sample_Counts_6	Proton_Sample_Counts_7	Proton_Sample_Counts_8	Proton_Sample_Counts_9	Proton_Sample_Counts_10	Proton_Sample_Counts_11	Proton_Sample_Counts_12	Proton_Sample_Counts_13	Proton_Sample_Counts_14	Proton_Sample_Counts_15	Proton_Sample_Counts_16	He_Flux_1	He_Flux_2	He_Flux_3	He_Flux_4	He_Flux_5	He_Flux_6	He_Flux_7	He_Flux_8	He_Flux_9	He_Flux_10	He_Flux_11	He_Flux_12	He_Flux_13	He_Flux_14	He_Flux_15	He_Flux_16	Electron_Flux_1	Electron_Flux_2	Electron_Flux_3	Electron_Flux_4	Electron_Flux_5	Electron_Flux_6	Electron_Flux_7	Electron_Flux_8	Electron_Flux_9	Electron_Flux_10	Electron_Flux_11	Electron_Flux_12	Electron_Flux_13	Electron_Flux_14	Electron_Flux_15	Electron_Flux_16	Proton_Flux_1	Proton_Flux_2	Proton_Flux_3	Proton_Flux_4	Proton_Flux_5	Proton_Flux_6	Proton_Flux_7	Proton_Flux_8	Proton_Flux_9	Proton_Flux_10	Proton_Flux_11	Proton_Flux_12	Proton_Flux_13	Proton_Flux_14	Proton_Flux_15	Proton_Flux_16	Sample_Ratio
1648225239.408	1648254039.408	64.85078	-1.876432	10700.546854	44505988.198486	-190037077.535351	-88372338.789235	-11315.7242842331	-6699.90706068914	-5080.21724608318	0.184254	-0.965599	0.183402	179.676	341.751	0	0	0	0	20.372	35.152	0	0	0	0	0	0	19.035	24.993	0	0	22.129	0	26.155	0	0	0	0.235	0.25	0.241	0.219	0.175	0.158	0.252	0.217	0.21	0.228	0.221	0.237	0.188	0.173	0.261	0.23	0.171	0.23	0.466	0.248	0.281	0	0.078	0.072	0.067	0.992	0.122	0.126	0.062	0.059	0.552	0.071	0.222	0.055	0.291	0.068	0.059	0.06	0.06	0.06	0.062	0.059	0.516	0	0.313	0.322	0.308	1.211	20.669	35.436	0.314	0.276	0.762	0.299	0.443	0.292	19.514	25.234	0.32	0.29	22.36	0.29	26.683	0.307	0.797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.610923861378	9.88429559858131	0	9.98487584981572	0	2.32421421051912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23809523809524
1648225243.408	1648254043.408	64.835684	-1.894561	10701.012441	44506085.033301	-190037048.804722	-88372332.877957	-11315.2650695637	-6698.45352041448	-5084.44631324422	0.184254	-0.965599	0.183402	179.676	341.482	0	0	9.605	9.754	42.826	2.066	40.948	0	0	26.195	5.863	0	0	2.864	6.146	8.43	0	0.067	0	0	47.46	0	0.252	0.232	0.197	0.195	0.43	0.215	0.158	0.232	0.221	0.158	0.188	0.237	0.235	0.221	0.208	0.204	0.232	0.248	0.228	0.217	0.133	0	0.059	0.054	0.824	0.376	0.067	0.156	0.282	0.062	0.273	0.112	0.106	0.053	0.061	0.224	0.484	0.094	0.056	0.06	0.068	0.334	0.583	0	0.311	0.286	10.626	10.325	43.323	2.437	41.388	0.294	0.494	26.465	6.157	0.29	0.296	3.309	6.838	8.728	0.288	0.375	0.296	0.551	48.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	0	0	0	0	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.868118572293	10.1750101750102	13.8026224982747	0	0	0	0	0.989237100348212	0.507140538786108	0	0.151097572768591	0.200984825645664	0.13290802764487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333333333333
1648225247.408	1648254047.408	64.820587	-1.912688	10701.475959	44506181.866937	-190037020.072211	-88372326.964322	-11314.8030134643	-6696.99935465267	-5088.67405195982	0.18407	-0.965613	0.183415	179.522	309.871	0	0	0	22.318	0	0	0	0	4.296	0	0	5.309	22.791	0	0.932	0	17.373	0	18.981	18.589	0	0	0.232	0.21	0.23	0.169	0.243	0.21	0.23	0.226	0.215	0.239	0.232	0.206	0.177	0.23	0.202	0.23	0.182	0.221	0.186	0.43	0.252	0	0.056	0.339	0.078	0.139	0.055	0.497	0.054	0.054	0.174	0.061	0.055	0.398	0.364	0.109	0.704	0.059	0.07	0.06	0.065	0.066	0.078	0	0.288	0.549	0.308	22.626	0.298	0.707	0.284	0.28	4.685	0.3	0.287	5.913	23.332	0.339	1.838	0.289	17.625	0.281	19.232	19.085	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.283899403682	12.3553694982266	8.38016365966676	6.24054740613482	0	0	1.94410136773249	0	0	0.30848873907224	0.183475624076146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04761904761905
1648225251.408	1648254051.408	64.80549	-1.930815	10701.937399	44506278.697361	-190036991.338315	-88372321.048593	-11314.3382429718	-6695.54245948841	-5092.90054390891	0.18407	-0.965613	0.183415	179.522	309.782	0	0	0	0	0	19.643	0	41.516	0	42.218	0	33.193	0	0	0	42.596	0	16.968	33.612	0	0	0	0.235	0.23	0.215	0.243	0.228	0.173	0.215	0.151	0.228	0.151	0.21	0.16	0.243	0.219	0.224	0.164	0.226	0.127	0.166	0.25	0.228	0	0.073	0.065	0.715	0.079	0.121	0.069	0.964	0.243	0.081	0.512	0.054	0.225	0.074	0.064	0.242	0.308	0.061	0.252	0.113	0.061	0.059	0	0.308	0.295	0.93	0.322	0.349	19.885	1.179	41.91	0.309	42.881	0.264	33.578	0.317	0.283	0.466	43.068	0.287	17.347	33.891	0.311	0.287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.079595540576	10.0296528867957	6.80272108843537	0	3.44053851907255	2.35839383126205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28571428571429
1648225255.407	1648254055.407	64.790397	-1.948936	10702.396757	44506375.502318	-190036962.609734	-88372315.13212	-11313.870797941	-6694.08521122132	-5097.12476896347	0.184254	-0.965599	0.183402	179.676	340.681	0	9.835	0	29.87	25.25	0	2.512	0.837	0	0	0	0	0.864	0	14.968	11.902	0	9.592	0	0	0	0	0.232	0.21	0.206	0.16	0.171	0.221	0.215	0.206	0.215	0.21	0.246	0.228	0.204	0.226	0.125	0.428	0.235	0.186	0.221	0	0	0	0.06	0.302	0.447	0.156	0.056	0.374	0.143	0.078	0.299	0.323	0.07	0.086	0.101	0.072	0.577	0.052	0.068	0.081	0.111	0	0	0	0.292	10.347	0.653	30.186	25.477	0.595	2.87	1.121	0.514	0.533	0.316	0.314	1.169	0.298	15.67	12.382	0.303	9.859	0.332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	1	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.5501002961123	12.0493541546173	24.51781627983	6.08598276449681	0	5.666621333696	0	0	0.60056116435197	0	0	0	0.157391085368925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94736842105263
1648225259.407	1648254059.407	64.7753	-1.96706	10702.854211	44506472.328509	-190036933.872559	-88372309.212049	-11313.4005387143	-6692.62511100656	-5101.34878590603	0.184254	-0.965599	0.183402	179.676	340.416	0.013	0	0	0	6.917	0	27.884	71.13	0	0	21.305	0	0	0	0	0	0	19.575	0	0	0	0	0.252	0.224	0.243	0.23	0.204	0.21	0.173	0.125	0.239	0.221	0.437	0.246	0.224	0.219	0.215	0.23	0.243	0.188	0.221	0.248	0	0	0.063	0.052	0.074	0.064	0.052	0.125	0.093	0.071	0.059	0.196	0.073	0.067	0.185	0.344	0.283	0.069	0.063	0.099	0.765	0.06	0	0	0.328	0.276	0.317	0.294	7.173	0.335	28.15	71.326	0.298	0.417	21.815	0.313	0.409	0.563	0.498	0.299	0.306	19.862	0.986	0.308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.506352087114	38.4615384615385	17.3913043478261	0	4.3979057591623	0	0	0	0	0	0	0.126620440156768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2
1648225263.407	1648254063.407	64.760204	-1.985183	10703.309601	44506569.153493	-190036905.133367	-88372303.289755	-11312.9273677438	-6691.16437609348	-5105.57165309878	0.184254	-0.965599	0.183402	179.676	340.152	0	23.426	0	17.63	18.778	22.939	16.144	0	0	0	0	4.917	0	0.053	0	0	0	23.372	14.036	0	0	0	0.246	0.177	0.232	0.191	0.188	0.171	0.18	0.237	0.228	0.219	0.219	0.202	0.235	0.226	0.235	0.213	0.228	0.166	0.186	0.226	0	0	0.066	0.06	0.074	0.091	0.107	0.215	0.108	0.065	0.057	0.194	0.126	1.411	0.056	0.288	0.055	0.334	0.054	0.094	0.137	0.063	0	0	0.312	23.663	0.306	17.912	19.073	23.325	16.432	0.302	0.285	0.413	0.345	6.53	0.291	0.567	0.29	0.547	0.282	23.632	14.359	0.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.745916515426	23.5042735042735	15.9420289855072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85
1648225267.407	1648254067.407	64.745107	-2.003304	10703.76295	44506665.975376	-190036876.392922	-88372297.365222	-11312.4515627053	-6689.70100348158	-5109.79308405666	0.184254	-0.965599	0.183402	179.676	339.888	0	0	0	0	0	0	0	34.707	16.914	0	0	0	10.618	26.182	30.302	0	27.33	18.387	16.076	0	23.264	0	0.217	0.224	0.235	0.21	0.248	0.23	0.263	0.171	0.191	0.252	0.219	0.228	0.197	0.193	0.158	0.232	0.199	0.173	0.182	0.228	0.186	0	0.139	0.064	0.078	0.739	0.07	0.056	0.063	0.295	0.09	0.06	0.072	0.054	0.368	0.229	0.121	0.067	0.096	0.095	0.08	0.076	0.076	0	0.356	0.288	0.313	0.949	0.318	0.286	0.326	35.173	17.195	0.312	0.291	0.282	11.183	26.604	30.581	0.299	27.625	18.655	16.338	0.304	23.526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319.764929565293	21.5128786557358	0	0	7.37970580902518	0	0	0	0	0	0	0	0.140502772081719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.04761904761905
1648225271.407	1648254071.407	64.73001	-2.021425	10704.214257	44506762.79603	-190036847.650452	-88372291.43853	-11311.9728606105	-6688.23697212319	-5114.01342731321	0.184254	-0.965599	0.183402	179.676	339.626	4.133	0.107	0	0	5.147	0	0	0	33.991	22.656	0	0	0	0	0	0	20.98	0	0	0	0	0	0.221	0.228	0.241	0.219	0.208	0.213	0.235	0.239	0.162	0.186	0.217	0.221	0.243	0.221	0.239	0.23	0.173	0.23	0.213	0.217	0.204	0	0.104	0.318	0.061	0.544	0.511	0.059	0.055	0.059	0.202	0.173	0.422	0.339	0.057	0.63	0.088	0.055	0.065	0.054	0.192	0.349	0.397	0	4.458	0.653	0.302	0.763	5.866	0.272	0.29	0.298	34.355	23.015	0.639	0.56	0.3	0.851	0.327	0.285	21.218	0.284	0.405	0.566	0.601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	2	4	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133.091349062311	11.1925111925112	15.1828847481021	22.6128070716415	3.83944153577661	0	0	0	0	0.279454504806617	0.16620733004545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66666666666667
1648225275.406	1648254075.406	64.714916	-2.03954	10704.663513	44506859.590243	-190036818.913653	-88372285.511165	-11311.4916264747	-6686.77156285498	-5118.2314436821	0.184254	-0.965599	0.183402	179.676	339.365	0	0	25.952	36.49	0	0	0	0	0	10.362	0	33.977	21.859	0.648	0	0	13.55	20.859	1.35	20.21	0	0	0.232	0.217	0.136	0.162	0.239	0.224	0.239	0.25	0.224	0.437	0.237	0.169	0.217	0.221	0.217	0.243	0.193	0.18	0.206	0.191	0.221	0	0.076	0.615	0.131	0.111	0.086	0.052	0.085	0.052	0.066	0.058	0.082	0.095	0.053	0.097	0.381	0.055	0.257	0.195	0.345	0.351	0.059	0	0.308	0.832	26.219	36.763	0.325	0.276	0.324	0.302	0.29	10.857	0.319	34.241	22.129	0.966	0.598	0.298	14	21.234	1.901	20.752	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.283899403682	0	8.38016365966676	0	8.47668910496136	0	1.94410136773249	0	0	0	0	0	0.0806941596415281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04761904761905
1648225279.406	1648254079.406	64.699819	-2.057658	10705.110768	44506956.405683	-190036790.168183	-88372279.580108	-11311.0074699465	-6685.30331318528	-5122.44919876532	0.184254	-0.965599	0.183402	179.676	339.105	40.651	0	0	0	0	0	0	27.708	2.283	82.383	0	0	0	0	22.223	0	0	2.337	3.512	0	26.695	0	0.169	0.23	0.226	0.232	0.294	0.232	0.219	0.186	0.219	0.127	0.254	0.237	0.232	0.21	0.175	0.228	0.226	0.217	0.21	0.239	0.177	0	0.227	0.075	0.147	0.063	0.084	0.074	0.081	0.742	0.184	0.548	0.065	0.062	0.062	0.742	0.06	0.065	0.069	0.124	0.151	0.056	0.1	0	41.047	0.305	0.373	0.295	0.378	0.306	0.3	28.636	2.686	83.058	0.319	0.299	0.294	0.952	22.458	0.293	0.295	2.678	3.873	0.295	26.972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.400743237404	20.6407349264492	0	0	3.54026427324857	0	0	2.00673811784923	0	0.257678829107401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38095238095238
1648225283.406	1648254083.406	64.684722	-2.075775	10705.556034	44507053.219923	-190036761.420876	-88372273.64681	-11310.5205552746	-6683.83440105569	-5126.66571258372	0.184254	-0.965599	0.183402	179.676	338.846	0	6.984	0	0	0	0	25.466	30.829	0	0	0	296.539	0	0	0	0.202	66.604	31.721	33.545	7.916	0	0	0.21	0.199	0.219	0.21	0.224	0.254	0.173	0.364	0.217	0.219	0.232	0	0.237	0.221	0.237	0.219	0.144	0.16	0.16	0.199	0.239	0	0.134	0.132	0.283	0.302	0.061	0.069	0.175	0.09	0.422	0.369	0.488	0	0.077	0.087	0.055	0.579	0.109	0.096	0.434	0.187	0.058	0	0.344	7.315	0.502	0.512	0.285	0.323	25.814	31.283	0.639	0.588	0.72	296.539	0.314	0.308	0.292	1	66.857	31.977	34.139	8.302	0.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	3	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.5221674876847	11.0471539042968	22.4785566400473	11.1595671262646	3.78957865868861	0	0	0	0	0	0	0.218212096415292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61904761904762
1648225287.407	1648254087.407	64.669621	-2.093896	10705.999355	44507150.055376	-190036732.664867	-88372267.709948	-11310.0307406673	-6682.36263268689	-5130.88209470477	0.184254	-0.965599	0.183402	179.676	338.588	0	8.794	0	3.958	0	0	16.414	0	0	0	0	0.026	0	0	22.358	21.521	83.383	0	0	0	21.48	0	0.237	0.415	0.246	0.208	0.219	0.23	0.186	0.237	0.226	0.226	0.217	0.239	0.208	0.232	0.193	0.188	0.1	0.217	0.246	0.226	0.45	0	0.229	0.071	0.071	0.161	0.075	0.073	0.273	0.065	0.764	0.226	0.091	0.069	0.572	0.06	0.141	0.07	0.761	0.254	0.055	0.054	0.053	0	0.466	9.28	0.317	4.327	0.294	0.303	16.873	0.302	0.99	0.452	0.308	0.334	0.78	0.292	22.692	21.779	84.244	0.471	0.301	0.28	21.983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	3	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216.057384841414	18.1696610268039	36.9713102632357	9.1772755972571	6.232859636001	0	0	0	0	0.453659910400353	0	0	0.118667881825777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95238095238095
1648225291.407	1648254091.407	64.654524	-2.112011	10706.440595	44507246.865307	-190036703.914305	-88372261.772303	-11309.5383406889	-6680.89043680946	-5135.09612083213	0.184254	-0.965599	0.183402	179.676	338.331	0	0	22.196	25.182	0	77.209	29.14	104.953	0	0	0	10.362	0	0	3.553	0	31.032	0	15.739	0	26.884	0	0.243	0.228	0.177	0.169	0.235	0.107	0.153	0.032	0.219	0.241	0.235	0.191	0.232	0.226	0.204	0.226	0.166	0.21	0.18	0.235	0.164	0	0.061	0.055	0.271	0.184	0.055	0.409	0.076	3.078	1.089	0.068	0.053	0.11	0.083	0.053	0.279	0.15	0.226	1.887	0.17	0.06	0.167	0	0.304	0.283	22.644	25.535	0.29	77.725	29.369	108.063	1.308	0.309	0.288	10.663	0.315	0.279	4.036	0.376	31.424	2.097	16.089	0.295	27.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126.177512747386	10.6110820396535	0	0	0	0	0	0	0	0.264937387673806	0	0	0.0693020429862535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47619047619048
